[1680899841600, [-0.387, 8.132, 5.654], [-0.001749, -0.002889, 0.012923]]
[1680899841620, [-0.377, 8.156, 5.68], [-0.000863, -0.00158, 0.013064]]
[1680899841640, [-0.391, 8.136, 5.666], [-0.001776, -0.002287, 0.011474]]
[1680899841660, [-0.381, 8.148, 5.693], [-0.000182, -0.002546, 0.011966]]
[1680899841680, [-0.366, 8.137, 5.646], [-0.001398, -0.001747, 0.011408]]
[1680899841700, [-0.4, 8.138, 5.674], [0.000408, -0.003217, 0.011298]]
[1680899841720, [-0.387, 8.131, 5.724], [-0.000425, -0.00311, 0.011431]]
[1680899841740, [-0.34, 8.13, 5.692], [-0.000973, -0.002009, 0.013402]]
[1680899841760, [-0.383, 8.158, 5.663], [-0.00032, -0.001352, 0.010461]]
[1680899841780, [-0.375, 8.153, 5.682], [0.000108, -0.002946, 0.010932]]
[1680899841800, [-0.4, 8.148, 5.675], [-0.003145, -0.001871, 0.012919]]
[1680899841820, [-0.392, 8.153, 5.674], [-0.000445, -0.002051, 0.010305]]
[1680899841840, [-0.365, 8.14, 5.7], [-0.003254, -0.002401, 0.012965]]
[1680899841860, [-0.38, 8.141, 5.709], [-0.000268, -0.002282, 0.011189]]
[1680899841880, [-0.374, 8.156, 5.669], [-0.001034, -0.002225, 0.010711]]
[1680899841900, [-0.371, 8.145, 5.716], [0.000742, -0.002658, 0.013557]]
[1680899841920, [-0.384, 8.153, 5.693], [0.000857, -0.002889, 0.012076]]
[1680899841940, [-0.363, 8.148, 5.65], [-0.000946, -0.001635, 0.011571]]
[1680899841960, [-0.366, 8.119, 5.686], [-0.000575, -0.001861, 0.011654]]
[1680899841980, [-0.37, 8.176, 5.719], [-0.001468, -0.002588, 0.011477]]
[1680899842000, [-0.393, 8.168, 5.686], [-0.001312, -0.002205, 0.011607]]
[1680899842020, [-0.378, 8.161, 5.71], [-0.002106, -0.00177, 0.012018]]
[1680899842040, [-0.358, 8.147, 5.681], [0.000524, -0.002979, 0.011182]]
[1680899842060, [-0.377, 8.149, 5.659], [0.001037, -0.001345, 0.011184]]
[1680899842080, [-0.367, 8.148, 5.685], [-0.000101, -0.002495, 0.011433]]
